W,N,seed,variant,phi_total,solve_ms,cross_cabin_ratio,cross_layer_ratio,sla,infeas_rate,phi_rep,phi_load,phi_cab,phi_sec
10,200,0,NoRep,460.57404328524353,2.2860420867800713,0.645,0.31,17542.665049702387,0.0,144.59738746053043,156.57050935797713,12.856146466735956,146.54999999999998
10,200,0,NoPred,489.02372969551743,2.1656248718500137,0.24,0.35,26628.803730953223,0.0,144.83043533071697,178.87365952906492,13.169634835735522,152.14999999999998
10,200,0,NoCabin,468.597233644082,2.343208994716406,0.805,0.325,21657.670438016594,0.0,145.1918544004817,159.9299903752406,16.57538886835977,146.89999999999998
10,200,0,NoSec,459.73661571436725,2.2780001163482666,0.645,0.345,25454.487806236102,0.0,142.31738419015844,161.62686921644433,13.442362307764538,142.35
10,200,0,FlatCCF,297.76046374551777,1.2674997560679913,1.0,1.0,0.0,0.0,169.77249727824233,85.64396830738984,6.743998159885587,35.599999999999994
10,200,0,GreedyByLoad,514.0680869064727,0.47837523743510246,0.835,0.345,35072.33901027343,0.0,137.46203213775112,188.4143545136498,26.591700255071746,161.6
10,200,0,FirstFit,331.43805222322976,1.0688342154026031,0.975,0.91,5075.37101831761,0.0,166.27353053412952,100.7656502015732,9.898871487527066,54.5
10,200,0,Random,454.3570983852,0.6974581629037857,0.805,0.33,13698.031560685748,0.0,144.05890094211213,153.66867065007443,13.929526793013427,142.7
10,200,1,Ours,455.04391461202056,2.298582810908556,0.755,0.31,17994.278505457492,0.0,145.18200033672443,143.37875440150145,15.333159873794683,151.14999999999998
10,200,1,NoRep,447.603249955365,2.1839593537151814,0.75,0.29,13673.113489725245,0.0,144.65027582506417,138.60230577426046,14.60066835604036,149.74999999999997
10,200,1,NoPred,476.47175155434,2.0938338711857796,0.24,0.32,19609.718882360386,0.0,145.22937039245198,166.77046005808805,11.921921103799939,152.55
10,200,1,NoCabin,454.2295515274459,2.3408341221511364,0.825,0.315,18928.919884204464,0.0,145.2039668950003,142.55937171151814,14.61621292092748,151.85
10,200,1,NoSec,446.3785833505294,2.2381250746548176,0.775,0.315,19195.757529338443,0.0,142.9861678010134,143.45698137854797,15.785434170968072,144.15
10,200,1,FlatCCF,293.97042454825873,1.2269578874111176,1.0,1.0,0.0,0.0,170.15869295876985,79.83199708879889,7.279734500689967,36.69999999999999
10,200,1,GreedyByLoad,492.8628365408701,0.4768748767673969,0.8,0.33,27497.46424432978,0.0,139.0942105949215,170.65445649504284,20.414169450905774,162.7
10,200,1,FirstFit,328.5357374874378,1.0801246389746666,0.985,0.915,6111.726302745186,0.0,166.5335340397309,95.58652237900654,11.165681068700401,55.24999999999999
10,200,1,Random,456.866055697448,0.675874762237072,0.775,0.27,11824.33300368189,0.0,143.07409243107236,148.3606991280331,16.381264138342562,149.04999999999998
10,200,2,Ours,460.88059789677783,2.168500330299139,0.67,0.33,21437.763529559335,0.0,144.8893615023075,150.76130642288447,9.379929971585877,155.84999999999997
10,200,2,NoRep,452.756710283594,2.418625168502331,0.685,0.305,16686.197923680546,0.0,144.6517199569937,146.86665115421715,9.23833917238317,152.0
10,200,2,NoPred,476.74464642607626,2.1045408211648464,0.24,0.34,23415.908936657874,0.0,144.76554721013764,165.61162409083,8.767475125108682,157.6
10,200,2,NoCabin,461.5232599016331,2.34412495046854,0.825,0.325,20750.59575350289,0.0,145.00184173547575,149.69750850090665,12.023909665250692,154.8
10,200,2,NoSec,449.34148392756225,2.131042070686817,0.665,0.34,22793.49923536399,0.0,143.16789307498186,148.8876627259295,9.135928126650953,148.14999999999998
10,200,2,FlatCCF,287.84600867026654,1.2448327615857124,1.0,1.0,0.0,0.0,170.1832516814801,74.42454631029099,6.038210678495519,37.199999999999996
10,200,2,GreedyByLoad,492.81991156193186,0.47512538731098175,0.785,0.345,30046.282185341646,0.0,138.3216854858475,166.3783551489941,15.819870927090324,172.3
10,200,2,FirstFit,320.0790496690448,1.0638749226927757,0.965,0.915,5072.60440664984,0.0,166.33626152547959,87.68225635611877,8.560531787446475,57.49999999999999
10,200,2,Random,461.47081215914494,0.6904168985784054,0.795,0.295,18834.501309178995,0.0,142.01366731455494,150.92904038536597,13.378104459224097,155.14999999999998
10,200,3,Ours,465.64724660673164,2.4975836277008057,0.765,0.34,24365.541726273288,0.0,147.39945553402555,153.4846840043815,11.113107068324599,153.65
10,200,3,NoRep,455.92572260304837,2.282582689076662,0.765,0.315,19424.389175280707,0.0,147.07172226219842,146.75302588423318,10.550974456616698,151.55
10,200,3,NoPred,487.640571167492,2.074833959341049,0.24,0.35,26131.203408701575,0.0,147.3446097052266,171.98282091749525,9.413140544770167,158.9
10,200,3,NoCabin,470.7338567278239,2.368499990552664,0.84,0.345,25181.152266456502,0.0,146.89739181877232,153.99781038493614,14.43865452411547,155.4
10,200,3,NoSec,452.43568700310857,2.2703330032527447,0.77,0.33,21748.066891627066,0.0,144.98297629553025,147.15832019330435,10.84439051427395,149.45
10,200,3,FlatCCF,304.677419470103,1.2449161149561405,1.0,1.0,0.0,0.0,171.94112748389966,89.4844155928578,6.1518763933455665,37.099999999999994
10,200,3,GreedyByLoad,518.437345898825,0.4747500643134117,0.825,0.39,37382.10345376597,0.0,139.417458999203,183.13098724180247,18.438899657819565,177.45
10,200,3,FirstFit,345.17688374083696,1.055500004440546,0.97,0.91,8217.602259566014,0.0,167.82873900851996,106.98772763170503,9.110417100611997,61.24999999999999
10,200,3,Random,472.2833064110278,0.7763328030705452,0.81,0.3,19584.454652309847,0.0,145.09192911014594,156.9996251627744,14.791752138107496,155.39999999999998
10,200,4,Ours,476.2192802513789,2.2480827756226063,0.75,0.335,23752.389726212146,0.0,142.80064928902033,166.88298613908728,11.985644823271372,154.54999999999998
10,200,4,NoRep,466.2827213354426,2.2060000337660313,0.74,0.31,18599.34853992917,0.0,142.27200492145082,162.49881340443795,11.161903009553761,150.35
10,200,4,NoPred,497.37141260832857,2.112917136400938,0.24,0.345,24928.55889444032,0.0,142.64396218202268,186.0406481212524,10.636802305053571,158.05
10,200,4,NoCabin,477.27271672022084,2.3369588889181614,0.78,0.335,24290.37952973148,0.0,142.34378875239534,166.70074433997155,12.278183627853942,155.95
10,200,4,NoSec,468.16498787726835,2.2313338704407215,0.71,0.345,24556.08844750835,0.0,141.13490618210727,164.73594146111495,11.944140234046099,150.35000000000002
10,200,4,FlatCCF,297.4197029392486,1.2201247736811638,1.0,1.0,0.0,0.0,169.14980786486285,84.41906043195496,7.250834642430846,36.599999999999994
10,200,4,GreedyByLoad,515.9199138056397,0.5856668576598167,0.755,0.345,33862.38792694329,0.0,135.89594687376976,196.03065240632986,16.14331452554005,167.85
